eval_id,x,order,f1,f2,f3,g1,g2,feasible
0,"[0.294620156288147, 0.43293657898902893, 0.5364921689033508, 0.855319082736969, 0.500087559223175, 0.044696200639009476, 0.4569723904132843, 0.09158452600240707, 0.7359578609466553, 0.12867507338523865]","[4, 2, 5, 3, 1, [1.1455789059400558, 1.1383661329746246]]",-17.1202392578125,0.121,2726.323702533819,165.3822206583573,3.0,0
1,"[0.8585690259933472, 0.9107176065444946, 0.23664961755275726, 0.23297233879566193, 0.03997495397925377, 0.5235266089439392, 0.6291373372077942, 0.8997350335121155, 0.3228893578052521, 0.6417530179023743]","[5, 1, 3, 2, 4, [1.3863377571105957, 1.428530901670456]]",-37.9332389831543,1.0,7638.949203017507,55.69508611671171,1.0,0
2,"[0.6025242209434509, 0.13305309414863586, 0.862845778465271, 0.5268347263336182, 0.36240968108177185, 0.9076921343803406, 0.10234010219573975, 0.5441714525222778, 0.12721215188503265, 0.8706510663032532]","[4, 1, 5, 3, 2, [1.0959219709038734, 1.2748834490776062]]",-53.2252197265625,0.589,6264.521273555718,-152.92061102051036,1.0,0
3,"[0.04138294979929924, 0.6484358310699463, 0.4106738269329071, 0.40448805689811707, 0.8397302627563477, 0.395177960395813, 0.8115533590316772, 0.4781769812107086, 0.8061469197273254, 0.35296300053596497]","[2, 3, 5, 1, 4, [1.3717952072620392, 1.0332187600433826]]",-35.254215240478516,1.0,4934.703977673407,-154.67539376009165,1.0,0
4,"[0.24970534443855286, 0.003914630971848965, 0.03579985350370407, 0.34379398822784424, 0.9322375655174255, 0.19158002734184265, 0.18716683983802795, 0.6319091320037842, 0.04220427945256233, 0.6119859218597412]","[2, 1, 3, 5, 4, [1.273065447807312, 1.1129444241523743]]",-43.645565032958984,1.0,6703.343331966861,-42.22763124156296,1.0,0
5,"[0.6847479343414307, 0.5271098613739014, 0.7379255890846252, 0.7238885164260864, 0.39296627044677734, 0.7363206148147583, 0.9769465327262878, 0.315976619720459, 0.890666663646698, 0.09402750432491302]","[4, 3, 5, 1, 2, [1.0088531328365207, 1.3211389780044556]]",-45.99331283569336,0.043,4157.338510881194,-13.383270346522352,1.0,0
6,"[0.9326104521751404, 0.3041328489780426, 0.3617987036705017, 0.016272861510515213, 0.19684235751628876, 0.8208745718002319, 0.2544705867767334, 0.24206620454788208, 0.5868322849273682, 0.38563910126686096]","[5, 2, 1, 3, 4, [1.4694425165653229, 1.476026177406311]]",-31.65119743347168,1.0,6653.91059185582,153.6928013282223,1.0,0
7,"[0.4925629496574402, 0.7897263765335083, 0.9115644693374634, 0.8963674902915955, 0.7201263904571533, 0.37231776118278503, 0.5814206600189209, 0.8002787232398987, 0.4725036025047302, 0.8984380960464478]","[1, 2, 4, 3, 5, [1.2482727617025375, 1.2148912400007248]]",-24.575185775756836,0.012,3651.4291060726723,-2.0493601338303336,0.0,1
8,"[0.4188483953475952, 0.2385222464799881, 0.306758314371109, 0.6301875114440918, 0.07456514984369278, 0.4651739299297333, 0.1943393498659134, 0.6961549520492554, 0.09748446941375732, 0.2964456081390381]","[1, 3, 2, 5, 4, [1.2868328094482422, 1.2879985570907593]]",-44.73049545288086,1.0,4570.799708544176,-69.9164460579189,2.0,0
9,"[0.982890248298645, 0.7304675579071045, 0.9815241694450378, 0.2500283718109131, 0.5982782244682312, 0.9780465364456177, 0.8914065957069397, 0.2619653642177582, 0.961851179599762, 0.8099808692932129]","[4, 3, 2, 5, 1, [1.0578375346958637, 1.0288927033543587]]",-32.555625915527344,0.192,5125.980248153086,-6.756034368987002,0.0,1
10,"[0.7281891107559204, 0.44465455412864685, 0.10625152289867401, 0.990164577960968, 0.8118581771850586, 0.5790113210678101, 0.3713212013244629, 0.17986981570720673, 0.5156855583190918, 0.7107235193252563]","[3, 1, 4, 5, 2, [1.4556751549243927, 1.1740638762712479]]",-32.14899444580078,0.757,5748.156010648263,-8.06478293905866,2.0,0
11,"[0.1671990603208542, 0.9614986181259155, 0.6833773851394653, 0.11000533401966095, 0.2731265127658844, 0.09886118024587631, 0.5429368019104004, 0.8717793822288513, 0.41718509793281555, 0.19251714646816254]","[2, 4, 5, 1, 3, [1.1992883384227753, 1.3840440511703491]]",-40.81602096557617,0.735,5138.728614454136,16.34685711116086,1.0,0
12,"[0.12391927093267441, 0.32366427779197693, 0.8085035681724548, 0.13926942646503448, 0.4910287857055664, 0.30248963832855225, 0.41733118891716003, 0.017607400193810463, 0.6811356544494629, 0.967653214931488]","[5, 2, 4, 3, 1, [1.1633135676383972, 1.4617975056171417]]",-38.93362808227539,0.649,5692.161150951472,-132.0051640969931,1.0,0
13,"[0.5590548515319824, 0.8326958417892456, 0.481331467628479, 0.761551558971405, 0.9669552445411682, 0.7504133582115173, 0.7466616034507751, 0.9595789313316345, 0.2522236704826355, 0.44923657178878784]","[1, 2, 5, 4, 3, [1.4313548803329468, 1.2222839295864105]]",-28.729318618774414,0.013,4395.277109199237,-119.89516729938634,1.0,0
14,"[0.8082591891288757, 0.11719532310962677, 0.6066731214523315, 0.49828705191612244, 0.6307265758514404, 0.6806680560112, 0.016004934906959534, 0.5966365337371826, 0.1979009211063385, 0.03775376081466675]","[3, 4, 1, 2, 5, [1.0781873315572739, 1.0744234174489975]]",-47.44137954711914,0.693,5218.291620686483,-94.35593729255606,2.0,0
15,"[0.3683628439903259, 0.6013281345367432, 0.18183045089244843, 0.620569109916687, 0.169086292386055, 0.13752184808254242, 0.8200057744979858, 0.4125089645385742, 0.8609465956687927, 0.5510720610618591]","[5, 2, 4, 3, 1, [1.326778084039688, 1.3664958775043488]]",-18.020872116088867,0.42,4883.2860676515365,176.60612601151803,1.0,0
16,"[0.3277031183242798, 0.0802839994430542, 0.9522668123245239, 0.032327793538570404, 0.8507946729660034, 0.801950991153717, 0.6562994718551636, 0.5859938263893127, 0.9875556230545044, 0.08167190849781036]","[2, 3, 5, 4, 1, [1.1363966763019562, 1.257422685623169]]",-47.66081237792969,1.0,6956.865976207288,-226.50733437567408,0.0,1
17,"[0.76274573802948, 0.5761314034461975, 0.27351948618888855, 0.9104691743850708, 0.3279397785663605, 0.25085899233818054, 0.4919470250606537, 0.40290337800979614, 0.07078830152750015, 0.5637401938438416]","[4, 1, 5, 2, 3, [1.395649641752243, 1.059474404901266]]",-28.762928009033203,0.151,4072.815941435463,-30.987401329184422,0.0,1
18,"[0.5106108784675598, 0.34506726264953613, 0.6501956582069397, 0.32980674505233765, 0.01975928246974945, 0.18120001256465912, 0.7765796780586243, 0.04003094881772995, 0.3755984306335449, 0.9178823828697205]","[3, 5, 1, 2, 4, [1.1215836480259895, 1.1438488215208054]]",-47.17525863647461,1.0,6975.76758900451,-78.87353679192535,2.0,0
19,"[0.07056339830160141, 0.8736335635185242, 0.07692942768335342, 0.7079480290412903, 0.559333860874176, 0.6370847821235657, 0.07517890632152557, 0.9808413982391357, 0.558233916759491, 0.4307157099246979]","[2, 4, 3, 1, 5, [1.345759630203247, 1.4142534732818604]]",-40.386619567871094,1.0,5940.566548709896,-74.37017632044581,0.0,1
20,"[0.1538822501897812, 0.4818284511566162, 0.45206278562545776, 0.5417854189872742, 0.7165383100509644, 0.9656829833984375, 0.9495422840118408, 0.12776842713356018, 0.2909264862537384, 0.6589919328689575]","[3, 4, 1, 2, 5, [1.258938878774643, 1.4937196671962738]]",-40.62811279296875,0.483,5421.32288076759,-58.331407900604574,1.0,0
21,"[0.7178311347961426, 0.9869572520256042, 0.775283694267273, 0.4213915169239044, 0.23952478170394897, 0.4775713086128235, 0.15195010602474213, 0.8186408281326294, 0.6433938145637512, 0.17203554511070251]","[5, 4, 2, 1, 3, [1.0231093354523182, 1.1903636753559113]]",-52.53257751464844,0.209,5512.794102307675,-314.1057102516055,2.0,0
22,"[0.9617908596992493, 0.21683061122894287, 0.1486603021621704, 0.8383011817932129, 0.4205981492996216, 0.0785108208656311, 0.6166364550590515, 0.7364755272865295, 0.8380955457687378, 0.33840301632881165]","[3, 4, 5, 1, 2, [1.4980953931808472, 1.106710210442543]]",-39.19105529785156,0.507,7111.637513061616,22.216200040261185,1.0,0
23,"[0.4006496071815491, 0.6892405152320862, 0.5773318409919739, 0.21790720522403717, 0.8811361193656921, 0.5993297100067139, 0.281873881816864, 0.30344709753990173, 0.2197600156068802, 0.8206882476806641]","[1, 2, 5, 3, 4, [1.219245970249176, 1.334207147359848]]",-43.292137145996094,0.25,5116.54676182155,62.053404954247355,2.0,0
24,"[0.451931357383728, 0.27866148948669434, 0.20349076390266418, 0.4526888430118561, 0.2924596965312958, 0.6920204162597656, 0.9267444610595703, 0.20029546320438385, 0.34477925300598145, 0.499930739402771]","[1, 5, 2, 4, 3, [1.3076717555522919, 1.168819636106491]]",-35.18742752075195,0.288,4252.932210093454,-119.72409201634082,1.0,0
25,"[0.8870669603347778, 0.7525404095649719, 0.5071624517440796, 0.5730176568031311, 0.7534304857254028, 0.23579198122024536, 0.2218647301197052, 0.759300947189331, 0.7130765318870544, 0.9814797639846802]","[3, 2, 1, 5, 4, [1.0366246961057186, 1.398071676492691]]",-38.20395278930664,0.011,4394.443063578351,117.90348488285719,0.0,0
26,"[0.6362758278846741, 0.045127023011446, 0.38139355182647705, 0.18670643866062164, 0.5863952040672302, 0.32042747735977173, 0.5154104828834534, 0.6854605078697205, 0.7683748006820679, 0.5074665546417236]","[4, 5, 1, 2, 3, [1.4493625164031982, 1.3047327101230621]]",-38.66889953613281,1.0,5070.002439576856,-70.623549257521,0.0,1
27,"[0.19637951254844666, 0.548787534236908, 0.8296145796775818, 0.8070353269577026, 0.1099175438284874, 0.8728549480438232, 0.33598238229751587, 0.36861103773117065, 0.16594567894935608, 0.020758148282766342]","[1, 3, 2, 5, 4, [1.2057306319475174, 1.0033752699382603]]",-54.12759780883789,0.735,5603.889257671209,-87.86205799110627,0.0,1
28,"[0.028096182271838188, 0.15823708474636078, 0.7047477960586548, 0.9417684078216553, 0.14251714944839478, 0.5442262291908264, 0.7115658521652222, 0.5231980681419373, 0.9332453012466431, 0.7641709446907043]","[5, 2, 1, 3, 4, [1.181162253022194, 1.0808997750282288]]",-40.034976959228516,1.0,4172.218942421679,160.4948113577142,0.0,0
29,"[0.5921380519866943, 0.685335099697113, 0.006481465883553028, 0.06356193125247955, 0.6807013750076294, 0.024025660008192062, 0.39004793763160706, 0.45641055703163147, 0.0005868133157491684, 0.2777329087257385]","[3, 4, 1, 2, 5, [1.4131322801113129, 1.3531816005706787]]",-34.8852653503418,1.0,5244.585759283538,64.65091702367496,1.0,0
30,"[0.8374395966529846, 0.391984224319458, 0.8823034167289734, 0.6767453551292419, 0.9716699719429016, 0.4081706702709198, 0.8472899794578552, 0.10077724605798721, 0.44577673077583313, 0.24100595712661743]","[1, 3, 4, 5, 2, [1.07681804895401, 1.443373441696167]]",-33.49741744995117,0.043,4954.3258149487665,-23.057116852385775,0.0,1
31,"[0.2764495015144348, 0.8893006443977356, 0.3285559415817261, 0.2985389828681946, 0.44728362560272217, 0.8946722149848938, 0.05110162869095802, 0.9098447561264038, 0.6125670075416565, 0.7228339314460754]","[4, 5, 2, 3, 1, [1.3282769918441772, 1.2475457936525345]]",-43.023380279541016,0.148,5464.830690045296,161.55007223561734,0.0,0
