eval_id,x,hub,f1,f2,f3,g1,g2,feasible
0,"[0.21934563492692294, 0.4130117368786672, 0.9766354781603012, 0.08889902164812924, 0.47928985968018156, 0.9875504942376699, 0.19814108901891814, 0.9117151818452747, 0.5582501148658583, 0.7832294684757611]","[1.1512382948097746, 1.198650496743117]",-50.898796,0.885,3522.2306135002877,-299.0492395831792,0,1
1,"[0.2959673146904229, 0.8940884610144999, 0.048175102712852635, 0.44506764276358546, 0.5618938892024055, 0.3637146302656621, 0.6944930799492877, 0.9233680820436188, 0.030593067542217356, 0.12140543858998842]","[1.1159531849429918, 1.3214484748875857]",-52.718212,1.0,4078.713306882008,5.385024057294544,2,0
2,"[0.23593360077291325, 0.966865769521486, 0.1491671330733525, 0.046896439497494, 0.47045114661285403, 0.6825774831729244, 0.8793831591887965, 0.6829203721828514, 0.5202866234335063, 0.46700555851733094]","[1.1287003000547657, 1.2540141403499168]",-49.678013,1.0,2751.429017666081,107.38953741617235,0,0
3,"[0.5744697926139982, 0.490141885681439, 0.20718000021475524, 0.4508835604741419, 0.9399288607089527, 0.31175372444251737, 0.023002568396193634, 0.24909584155915754, 0.21098344092956567, 0.20262672228661216]","[1.3354986692616615, 1.371122721987358]",-20.107035,0.28,3688.637707920162,-13.767746622945083,1,0
4,"[0.8545523494134567, 0.08434878604219853, 0.16995954048719009, 0.9759123620072574, 0.0023971728372461643, 0.4576685458384775, 0.05042590390038104, 0.6518207314586204, 0.9962993316087806, 0.46318253793298003]","[1.1860691534814456, 1.3309362768685424]",-44.59191,1.0,3886.638211061727,-168.516355492255,0,1
5,"[0.6736276240766944, 0.5975711333063968, 0.5875078194877303, 0.09682304259153385, 0.9973984637951291, 0.6372309748866792, 0.23523932883080878, 0.9110170274145675, 0.16820742550390766, 0.34127022147513764]","[1.2670197503194385, 1.1844273919043864]",-38.03964,0.824,3912.3800718327275,-226.34720015038482,1,0
6,"[0.5049572384869688, 0.46817293697057316, 0.26746430535806776, 0.7059615452097359, 0.1070941590419413, 0.16623858893462196, 0.8194210758416954, 0.7514191948393347, 0.27924256589893026, 0.8556857158422707]","[1.3700907568827443, 1.4577637061005606]",-39.178356,0.749,3881.5499126365494,-66.80575518185339,0,1
7,"[0.2835383706498744, 0.16800659068430013, 0.23244938424863892, 0.8215771731041895, 0.8526515885477612, 0.09349133022923428, 0.5975302601094772, 0.9640459604311121, 0.7160148311667821, 0.058434584883877316]","[1.3003143876904601, 1.4872355771718637]",-44.361347,0.425,5010.582399295348,-368.22366598635347,1,0
8,"[0.9252022387163977, 0.6125656858808737, 0.8905983046556883, 0.20259842565367636, 0.9321277591479076, 0.3037246342185399, 0.9322733671079478, 0.4331374325593085, 0.32381723319762956, 0.6420394573125242]","[1.3190929400924742, 1.3314768247151494]",-40.40685,0.292,3776.4301704574887,28.736666899523698,1,0
9,"[0.5968167217005191, 0.46893377887809484, 0.9182215349447359, 0.6896285034643913, 0.42529262277267266, 0.7052882274608581, 0.946821190762661, 0.05607014721918191, 0.3991303906950242, 0.15488052581741496]","[1.46726973372746, 1.3479693153070875]",-24.805845,0.032,4068.7590227668506,-203.49340033441337,0,1
10,"[0.6968906301690483, 0.5819802021150676, 0.06892690463141682, 0.9467911938883932, 0.8870134262931914, 0.8506915303811383, 0.24801102888670223, 0.33913044048054986, 0.46635669952732506, 0.9861292103515066]","[1.0932029050049628, 1.2420390525851264]",-44.896122,1.0,3277.883143930287,-137.04781542180405,0,1
11,"[0.7794012902572587, 0.7868995436893303, 0.5767047848640261, 0.492023631357952, 0.6772419136375922, 0.2950062099383961, 0.1820848789735381, 0.2856457771800095, 0.6801313798751197, 0.29622299841589306]","[1.1159619254401405, 1.0816669174062907]",-24.171476,0.012,2436.438528797303,83.51502308736858,1,0
12,"[0.8350982884241658, 0.1871499357498142, 0.5994885208053359, 0.8269274112424556, 0.649210401799456, 0.6383023945665566, 0.8242685987597398, 0.16641049269745212, 0.9820868670071042, 0.11879829621366012]","[1.3603243247526307, 1.3796328183767588]",-32.379414,0.346,3773.9080070184477,137.26489541914742,1,0
13,"[0.75151805140209, 0.527896491558702, 0.9322059574865724, 0.11292774654844173, 0.17857870113473018, 0.12408204539220835, 0.4176727986940275, 0.9679692999515785, 0.7268383822986144, 0.3250823234547374]","[1.4300633005470766, 1.0727745552543646]",-59.085854,0.718,3881.871607938123,-350.2949233890663,2,0
14,"[0.8706269236505781, 0.5450452193388593, 0.3428122847839362, 0.6850068229792424, 0.9768654255246332, 0.15883049824971973, 0.296530935256763, 0.8811004935820862, 0.8725526915485258, 0.6914136338548027]","[1.4848485097753557, 1.0754134820647383]",-44.339024,0.075,3698.5840004377205,-318.4964297743069,0,1
15,"[0.18424563254073212, 0.28054972764389585, 0.10484996364895394, 0.7959761153405731, 0.9916771691263823, 0.10044681355695051, 0.0033356108310241828, 0.24733201852464126, 0.9917593008015098, 0.6522268644025302]","[1.4264753782546054, 1.1047123070638967]",-35.385017,0.765,3809.702631713106,24.058180369681082,1,0
