eval_id,x,hub,f1,f2,f3,g1,g2,feasible
0,"[0.17893481367543618, 0.6399131657151546, 0.4672684011434851, 0.37050052710804804, 0.3549173343096512, 0.790518245853265, 0.9051438366771739, 0.17735319182304865, 0.652784802685132, 0.29830276735556926]","[1.4834811000811952, 1.459925080268639]",-38.43389129638672,0.374,3557.695546192342,-23.131367671688906,0.0,1
1,"[0.7742121576308749, 0.9584644009640338, 0.8883954263166767, 0.6209354652000495, 0.1602743126680698, 0.9470620833116628, 0.023632428671776062, 0.29770945642086144, 0.2816134931005958, 0.6718259817227047]","[1.2436815330362556, 1.0464442743787237]",-39.99403381347656,0.458,3822.864417997185,-194.5686303005947,0.0,1
2,"[0.5460602299006425, 0.9172632996428407, 0.23326320620013874, 0.5993159922695809, 0.8142430618716505, 0.13476145162112996, 0.615508274358867, 0.40283347552957394, 0.7660363414662829, 0.06771436062054059]","[1.3034071905171016, 1.4285393449933235]",-45.35595703125,0.222,4093.134014322476,-208.7235114360812,0.0,1
3,"[0.12046907762387415, 0.46581253099537934, 0.20785494157193374, 0.3351350375860954, 0.5675652419333407, 0.9578419522589532, 0.9363122242578448, 0.07389597584523522, 0.8533136562599993, 0.16782365513224518]","[1.4057164362516168, 1.1481736089240997]",-42.72370147705078,0.669,4087.710174458179,-6.0099603397742385,0.0,1
4,"[0.11013211899741604, 0.9159237744769517, 0.6220697409528387, 0.739900702350839, 0.3547334554703645, 0.9338325089891943, 0.9761006353570684, 0.5584557017778705, 0.9868402765278871, 0.505794352818757]","[1.2198701419672127, 1.3927170007299507]",-47.780120849609375,0.731,3169.671291953381,-41.91438581038403,0.0,1
5,"[0.895368602951573, 0.7314763939923757, 0.2225521522559719, 0.09521030422128629, 0.8424122866034477, 0.5699619505238555, 0.9295786250874855, 0.5171815371217462, 0.23087836206189072, 0.13356210614198927]","[1.2089564580628671, 1.3420087443928799]",-56.55819320678711,0.831,4056.8390498495764,-270.2374157065166,0.0,1
6,"[0.5782871366069361, 0.8472292340199105, 0.7697291933269581, 0.09171535480487203, 0.762139086122917, 0.541465667810765, 0.18878064680754914, 0.3471792790332324, 0.5091940832753937, 0.8588457797698037]","[1.44095143420128, 1.0510510816281533]",-48.49824523925781,0.865,3348.3429407024355,-41.89983683895042,0.0,1
7,"[0.44215445593765246, 0.8435291936572402, 0.6023637298660838, 0.855161877800188, 0.5972601161994129, 0.22303588556876974, 0.5028525707037969, 0.5151548407681276, 0.8940779162131687, 0.3557522738346047]","[1.1174948099766102, 1.3744289851150302]",-25.71955680847168,0.026,2572.997810673447,-13.804421183728152,0.0,1
8,"[0.5193842211443356, 0.32654466381127, 0.49995502241119394, 0.09344593349461805, 0.9047040725533528, 0.9897361675845034, 0.05873521751558297, 0.3582312185913814, 0.7300645778190835, 0.3142381312178827]","[1.2835248791822245, 1.208285481157515]",-56.10460662841797,0.853,4329.552925468605,-324.78855109318476,0.0,1
9,"[0.5315023647330197, 0.05905631897829, 0.16828799503434966, 0.7083692223653099, 0.6790112450880074, 0.028343139334361833, 0.16316519791014217, 0.617824345855178, 0.40765415183042697, 0.5889658881432593]","[1.0643508423673498, 1.431242833679223]",-53.73707580566406,1.0,4145.515515303295,-54.118903193364986,0.0,1
