eval_id,x,order,f1,f2,f3,g1,g2,feasible
0,"[0.21934563492692294, 0.4130117368786672, 0.9766354781603012, 0.08889902164812924, 0.47928985968018156, 0.9875504942376699, 0.19814108901891814, 0.9117151818452747, 0.5582501148658583, 0.7832294684757611]","[3, 2, 5, 4, 1, [1.44704423050725, 1.0240875513564263]]",-50.898796,0.885,4801.7066911502,-299.0492395831792,0,1
1,"[0.44506764276358546, 0.5618938892024055, 0.3637146302656621, 0.6944930799492877, 0.9233680820436188, 0.030593067542217356, 0.12140543858998842, 0.23190636988598334, 0.6428969497751713, 0.23593360077291325]","[5, 3, 2, 1, 4, [1.280321555102062, 1.016686088154381]]",-22.754131,0.065,4090.2611874918207,5.385024057294544,2,0
2,"[0.975428163106614, 0.6677825948813585, 0.75929672658657, 0.5060367768034753, 0.027567217181627357, 0.7325378917755803, 0.5952779097443058, 0.36928202577041, 0.29379847800120706, 0.9158639643407133]","[2, 5, 3, 4, 1, [1.2341508613865666, 1.4541590556911508]]",-50.0617,1.0,5941.47665003552,-154.3652807420682,0,1
3,"[0.08718852104713559, 0.297396053902785, 0.27064726309661147, 0.10863767455929774, 0.7953362992729901, 0.42214200772314914, 0.3761146811836388, 0.9557276144802359, 0.09183849735311078, 0.3995043043078922]","[3, 4, 1, 2, 5, [1.1940747226537303, 1.1108060166149256]]",-47.676014,0.899,4766.592182993797,-106.64248504228897,1,0
4,"[0.830769707169442, 0.7138772986592579, 0.7946829125091318, 0.7212724882157964, 0.6605151462200234, 0.251916065149136, 0.5888969612733083, 0.4838637437021003, 0.7604497859927974, 0.4380046082202701]","[2, 5, 4, 3, 1, [1.4556387710104297, 1.193129046656048]]",-23.534092,0.005,3276.2781016852737,31.13570786635026,1,0
5,"[0.6534200318686229, 0.7086800200211896, 0.7127309055583259, 0.07478805446192016, 0.10692483394773722, 0.7558447037315794, 0.6624031941606217, 0.0852046230102137, 0.18735394838108388, 0.909448036313106]","[5, 4, 1, 2, 3, [1.4263257942738807, 1.0467456651146172]]",-49.69529,1.0,5910.400264233321,71.07071437330004,3,0
6,"[0.5975302601094772, 0.9640459604311121, 0.7160148311667821, 0.058434584883877316, 0.6006287753809204, 0.9744711543437277, 0.9252022387163977, 0.6125656858808737, 0.8905983046556883, 0.20259842565367636]","[4, 1, 3, 5, 2, [1.466136683553974, 1.2165687162796543]]",-52.846207,1.0,6010.070488379656,-364.347776600496,1,0
7,"[0.32381723319762956, 0.6420394573125242, 0.6381858801849485, 0.6629536494302989, 0.5968167217005191, 0.46893377887809484, 0.9182215349447359, 0.6896285034643913, 0.42529262277267266, 0.7052882274608581]","[3, 1, 5, 4, 2, [1.1995651953475122, 1.0774402629087074]]",-29.145164,0.096,3680.931805274548,178.27763989002716,1,0
8,"[0.93453946745492, 0.6959386306141752, 0.6968906301690483, 0.5819802021150676, 0.06892690463141682, 0.9467911938883932, 0.8870134262931914, 0.8506915303811383, 0.24801102888670223, 0.33913044048054986]","[4, 5, 2, 1, 3, [1.1527659277769853, 1.2252481832332958]]",-46.149033,1.0,4979.580678176128,191.44332264082414,0,0
9,"[0.37859780927672637, 0.918218669121748, 0.9511783830227227, 0.9231738796624683, 0.954809854142414, 0.24382254616979415, 0.758983256560905, 0.22589513421156537, 0.5483435041921063, 0.8287287669772196]","[5, 3, 4, 2, 1, [1.085843021420719, 1.1122864627351143]]",-27.081625,0.054,3659.326603327642,120.73238765737301,0,0
