eval_id,x,hub,f1,f2,f3,g1,g2,g3,feasible
0,"[0.7178343572828981, 0.850551259756355, 0.2754808528630017, 0.7392607956370342, 0.6629613377688489, 0.7187932050275267, 0.9796258488514935, 0.6283084586743911, 0.07962933757560675, 0.32151551530824796]","[0.6423134569639611, 1.0768760939477686]",-53.595947265625,0.0,2714.4400545057983,-170.72017157700702,1.0,0.0,0
1,"[0.6959948701337834, 0.2615530463118, 0.22789197890735768, 0.5800284530205562, 0.7312406583584447, 0.3138203272623701, 0.7008408895008554, 0.4931103229848808, 0.18890636475445843, 0.5484830646246303]","[0.6423134569639611, 1.0768760939477686]",-32.37224197387695,0.01,2697.7482547676727,-32.07318548538768,1.0,0.0,0
2,"[0.16146904266095086, 0.46188359707756765, 0.6419175904033568, 0.9051507074391362, 0.28879164900942544, 0.5494715578347591, 0.5770798329599061, 0.49866886134850175, 0.17791419839100442, 0.35622164118008504]","[0.6423134569639611, 1.0768760939477686]",-34.25837707519531,0.01,2757.8117809691385,-75.27726953416715,1.0,0.0,0
3,"[0.17893481367543618, 0.4672684011434851, 0.3549173343096512, 0.9051438366771739, 0.652784802685132, 0.6399131657151546, 0.37050052710804804, 0.790518245853265, 0.17735319182304865, 0.29830276735556926]","[0.6423134569639611, 1.0768760939477686]",-28.648828506469727,0.01,2518.0807980310824,-79.77996047064914,2.0,0.0,0
4,"[0.5542825390272328, 0.24062604181377323, 0.36528505670346056, 0.96536926984468, 0.12046907762387415, 0.4381450103309691, 0.7813658931947177, 0.043090690634595696, 0.03046480812489505, 0.46581253099537934]","[0.6423134569639611, 1.0768760939477686]",-48.83353042602539,0.02,3813.1700574173274,-310.7544861799364,2.0,0.0,0
5,"[0.7559488323569789, 0.11610473609591099, 0.8880321199869642, 0.7419162010314087, 0.5220921065907778, 0.17072977658825428, 0.6974639333086391, 0.8796672522975737, 0.9835673000846709, 0.7744687729754793]","[0.6423134569639611, 1.0768760939477686]",-42.035125732421875,0.02,2799.6976566701524,-46.81450397997753,2.0,0.0,0
6,"[0.4171774343880905, 0.9108220921659664, 0.7464710369587361, 0.11221292406831795, 0.5101225863270002, 0.3532556606165881, 0.43070700374480275, 0.4970226157004175, 0.1268760779065603, 0.7076778979003703]","[0.6423134569639611, 1.0768760939477686]",-44.84500503540039,0.0,2708.457057102499,-43.37359375375945,2.0,0.0,0
7,"[0.18301541483209494, 0.5118814273652947, 0.8573010008865969, 0.3995968392250302, 0.09751514963535424, 0.8418955837519252, 0.8851177060251493, 0.19316997569865946, 0.5257783000795696, 0.08535616172648453]","[0.6423134569639611, 1.0768760939477686]",-57.462852478027344,0.07,3399.86392751079,-300.81804733205456,2.0,0.0,0
8,"[0.9183968578705968, 0.9421208694705342, 0.6390262522229664, 0.5460602299006425, 0.23326320620013874, 0.188257161102365, 0.7877266263227836, 0.6596072674909493, 0.9172632996428407, 0.5993159922695809]","[0.6423134569639611, 1.0768760939477686]",-34.026126861572266,0.01,2912.4788688758845,-204.5200848446077,2.0,0.0,0
9,"[0.6576467600079774, 0.7770490207042496, 0.9421656316593494, 0.8731312620415899, 0.993906309433891, 0.16691335878547553, 0.7825153662907529, 0.38069524000658606, 0.09368549297431539, 0.21220747485396863]","[0.6423134569639611, 1.0768760939477686]",-13.633962631225586,0.0,2218.6614588444713,-30.023933099419025,2.0,0.0,0
10,"[0.5670497583644489, 0.7742121576308749, 0.8883954263166767, 0.1602743126680698, 0.023632428671776062, 0.4165709623150299, 0.9584644009640338, 0.6209354652000495, 0.9470620833116628, 0.29770945642086144]","[0.6423134569639611, 1.0768760939477686]",-63.582733154296875,0.42,3283.092562573861,-341.85993032965564,2.0,0.0,0
11,"[0.6557960559218892, 0.6685927884100901, 0.2799917441958927, 0.08390938896269085, 0.23169822139230722, 0.33815284273601076, 0.1283444014420535, 0.032718378196915365, 0.5547696198165065, 0.5160825876377318]","[0.6423134569639611, 1.0768760939477686]",-45.35253143310547,0.01,3196.8369193359695,-2.6116797505108025,3.0,0.0,0
12,"[0.21417883012053884, 0.9065322424574986, 0.3942866712901717, 0.7611131728418318, 0.08229124940952703, 0.8695515555783495, 0.6893133058623288, 0.025647897127963226, 0.562817570968351, 0.5707371869026688]","[0.6423134569639611, 1.0768760939477686]",-48.13214874267578,0.07,3486.928163913906,-69.22652875966133,3.0,0.0,0
13,"[0.20941612123621955, 0.7974623155214327, 0.34510057866729216, 0.5633773745025455, 0.9004495990042221, 0.8746240571921795, 0.606709676684979, 0.9468197909796484, 0.43276273961995204, 0.3193418039018624]","[0.6423134569639611, 1.0768760939477686]",-45.213966369628906,0.07,2616.8512539531534,-4.157631145781522,3.0,0.0,0
14,"[0.006155669335288327, 0.613256681670192, 0.2906059077682427, 0.33109368071345846, 0.9314994667781543, 0.4513766078981988, 0.8026586252465906, 0.23204551611998447, 0.05919464671039454, 0.8806350809002281]","[0.6423134569639611, 1.0768760939477686]",-46.13884353637695,0.01,2992.714452080471,-43.87935080221206,3.0,0.0,0
15,"[0.04618702854343115, 0.9994364677711847, 0.43132345380885195, 0.010231902156670136, 0.33099943817048805, 0.9377589260828116, 0.7373054252872605, 0.5914192820348003, 0.10844932301271404, 0.4112686884886242]","[0.6423134569639611, 1.0768760939477686]",-56.161827087402344,0.99,3645.636572639265,-91.66607698869865,3.0,0.0,0
16,"[0.6021361701813102, 0.08362765145734896, 0.12499955865727308, 0.7854702016115908, 0.4115541827996497, 0.07458742422196396, 0.9320824085782379, 0.14566874185476875, 0.3015314021630472, 0.4100234308800571]","[0.6423134569639611, 1.0768760939477686]",-51.40578842163086,0.64,3768.39583975796,-234.23620778494234,3.0,0.0,0
17,"[0.2816134931005958, 0.48736306607251145, 0.012857887744930352, 0.4914833323409261, 0.5640238638655345, 0.6718259817227047, 0.09288854875744723, 0.6043157467736379, 0.6013821213404011, 0.89045910829968]","[0.6423134569639611, 1.0768760939477686]",-36.01071548461914,0.02,2512.0101462055754,-116.95764112295899,3.0,0.0,0
18,"[0.030188469259489592, 0.4736051880661374, 0.4341822332207885, 0.24864819916465264, 0.5982968449905018, 0.5254697248274498, 0.04850513258211875, 0.3049191826586233, 0.9302937489130779, 0.1541575029427562]","[0.6423134569639611, 1.0768760939477686]",-39.55205535888672,0.11,2877.700667685883,-20.386053971719264,4.0,0.0,0
19,"[0.7424842116732404, 0.00921065799657117, 0.18956699187220505, 0.5664491371813656, 0.4590016363424163, 0.3356970836114517, 0.5333564262211142, 0.32011996751753846, 0.3918329723107977, 0.050458948610459076]","[0.6423134569639611, 1.0768760939477686]",-51.847232818603516,0.02,3153.9088027822118,-55.94526327800804,4.0,0.0,0
20,"[0.9919930979414978, 0.11013211899741604, 0.6220697409528387, 0.3547334554703645, 0.9761006353570684, 0.16222855752056586, 0.9159237744769517, 0.739900702350839, 0.9338325089891943, 0.5584557017778705]","[0.6423134569639611, 1.0768760939477686]",-30.92024040222168,0.43,2818.4419864311744,-156.75601786757983,4.0,0.0,0
21,"[0.7768482879275864, 0.9936568534146455, 0.1381690550005069, 0.49465670555808827, 0.11771307998234448, 0.9461829725207951, 0.4849152370071329, 0.024923602435105274, 0.0763549914853281, 0.23483907948984994]","[0.6423134569639611, 1.0768760939477686]",-37.90608215332031,0.0,3188.7237762510704,-99.51286038756263,4.0,0.0,0
22,"[0.5193842211443356, 0.49995502241119394, 0.9047040725533528, 0.05873521751558297, 0.7300645778190835, 0.32654466381127, 0.09344593349461805, 0.9897361675845034, 0.3582312185913814, 0.3142381312178827]","[0.6423134569639611, 1.0768760939477686]",-52.07240676879883,0.0,3134.758594336709,-99.72895453213295,4.0,0.0,0
23,"[0.20557265759667276, 0.26268325844768114, 0.02094484416240605, 0.27068090144591017, 0.5879702166328254, 0.5513756583147158, 0.41628477156613086, 0.28176023673675177, 0.9191304909520741, 0.1775164934316158]","[0.6423134569639611, 1.0768760939477686]",-39.23221206665039,0.07,2673.351073874237,7.557674429773186,2.0,0.0,0
24,"[0.9669622001623905, 0.6358708041446514, 0.5151536963223518, 0.4483805454001032, 0.27789921550015906, 0.9198501605372782, 0.7527320970790866, 0.82589525837557, 0.33881245331376186, 0.22633305684340344]","[0.6423134569639611, 1.0768760939477686]",-39.573699951171875,0.0,2402.9590688354106,16.739684459824502,3.0,0.0,0
25,"[0.015272435183649069, 0.8647679793230478, 0.4875580786370386, 0.29526571288950065, 0.3657350555800003, 0.2030974028229966, 0.5694728969947693, 0.36880428868132864, 0.6788297965535495, 0.43523470740661496]","[0.6423134569639611, 1.0768760939477686]",-44.21868133544922,0.01,2946.755654057053,20.738577437012736,1.0,0.0,0
26,"[0.9144561221029246, 0.5858895145468258, 0.6679799243985048, 0.7898093832755049, 0.1836603870914313, 0.3187820814455795, 0.23874477955495155, 0.12765638766488252, 0.4229460447715928, 0.758249565648491]","[0.6423134569639611, 1.0768760939477686]",-22.85169219970703,0.02,2984.723167485701,21.788233872218285,3.0,0.0,0
27,"[0.3738491444106369, 0.8351417342075574, 0.9624014436858985, 0.8918217642332203, 0.2362906836924623, 0.0935034547745921, 0.4859329784263382, 0.14461570487334963, 0.35954611893234156, 0.6571231551575867]","[0.6423134569639611, 1.0768760939477686]",-44.99790573120117,0.01,3518.6205401657176,21.14482454058637,4.0,0.0,0
28,"[0.9002654171528618, 0.14704654594174182, 0.7411145400827215, 0.5292209856627658, 0.16078650452811283, 0.9083534610543227, 0.6483341011050769, 0.5287591672457896, 0.20143090853695012, 0.7831343292771509]","[0.6423134569639611, 1.0768760939477686]",-50.93180847167969,0.02,3015.3109668756897,26.171151451205162,2.0,0.0,0
29,"[0.30996375517120167, 0.3987189364419349, 0.7115105508132997, 0.8270938070133592, 0.9606887020277379, 0.8817710808483114, 0.6823799448443975, 0.40168496892501016, 0.4653517170757224, 0.9366989347480371]","[0.6423134569639611, 1.0768760939477686]",-39.169429779052734,0.02,2506.203156754935,32.07200877485786,4.0,0.0,0
30,"[0.20785494157193374, 0.5675652419333407, 0.9363122242578448, 0.8533136562599993, 0.8114328725032335, 0.3351350375860954, 0.9578419522589532, 0.07389597584523522, 0.16782365513224518, 0.2963472178481993]","[0.6423134569639611, 1.0768760939477686]",-41.63924026489258,0.01,2851.4968203488625,43.09507077192737,4.0,0.0,0
31,"[0.774382020078661, 0.2064226800628115, 0.7715370379067442, 0.07837290492218618, 0.8953850271326209, 0.6520981168659544, 0.7444418905939161, 0.7702414655724522, 0.21213914882577256, 0.8794320598717107]","[0.6423134569639611, 1.0768760939477686]",-42.62029266357422,0.02,2833.216705598921,55.03930560159341,2.0,0.0,0
32,"[0.9868402765278871, 0.43974028393442544, 0.6442476693303388, 0.5149392859956807, 0.8756598515631787, 0.505794352818757, 0.7854340014599015, 0.2005303566832357, 0.01645945948648464, 0.5424458861963711]","[0.6423134569639611, 1.0768760939477686]",-32.09645080566406,0.0,2681.43778202676,56.89214017769791,2.0,0.0,0
33,"[0.5971018283213804, 0.7575365645348388, 0.8250134678055777, 0.5828599453946457, 0.10742835312995902, 0.5310825299332868, 0.6985947417360271, 0.79328366533945, 0.3499641877600487, 0.16381779297574706]","[0.6423134569639611, 1.0768760939477686]",-45.72307586669922,0.0,2296.342027528988,58.21565288645044,1.0,0.0,0
