eval_id,x,hub,f1,f2,f3,g1,g2,feasible
0,"[np.float64(0.6220697409528387), np.float64(0.43974028393442544), np.float64(0.6442476693303388), np.float64(0.5149392859956807), np.float64(0.8756598515631787), np.float64(0.739900702350839), np.float64(0.7854340014599015), np.float64(0.2005303566832357), np.float64(0.01645945948648464), np.float64(0.5424458861963711)]","[0.06928054281514673, 1.4066383891242173]",-26.09162139892578,0.026,3117.3411271016416,-61.211881965937664,0.0,1
1,"[np.float64(0.4171774343880905), np.float64(0.9108220921659664), np.float64(0.7464710369587361), np.float64(0.5101225863270002), np.float64(0.7424842116732404), np.float64(0.3532556606165881), np.float64(0.43070700374480275), np.float64(0.4970226157004175), np.float64(0.7076778979003703), np.float64(0.3356970836114517)]","[0.2745231222481424, 1.2628433756278878]",-27.55997657775879,0.034,2640.0913468637877,-16.95528978813769,0.0,1
2,"[np.float64(0.5118814273652947), np.float64(0.8573010008865969), np.float64(0.3995968392250302), np.float64(0.841486558403682), np.float64(0.38328936307170336), np.float64(0.8851177060251493), np.float64(0.19316997569865946), np.float64(0.5257783000795696), np.float64(0.8267136201588152), np.float64(0.7065846822128775)]","[0.7768996649034982, 1.1214802796391583]",-35.65608215332031,0.052,2673.0646242012663,-50.56414592745085,0.0,1
3,"[np.float64(0.4493700221843081), np.float64(0.16238519618917013), np.float64(0.7747330486829124), np.float64(0.9269667072846148), np.float64(0.531556426498312), np.float64(0.5928292560660468), np.float64(0.14533662442438278), np.float64(0.38245569953067815), np.float64(0.06655933206506481), np.float64(0.7572363648024241)]","[0.7886019493535044, 1.0226511506319818]",-46.30073547363281,0.446,3038.325827274841,-54.33871401898148,0.0,1
4,"[np.float64(0.13135175626218798), np.float64(0.7905530029991071), np.float64(0.44095645603041267), np.float64(0.591796377331508), np.float64(0.3665832090380381), np.float64(0.2418497993311799), np.float64(0.3891706526204568), np.float64(0.20099980305076082), np.float64(0.786219021931593), np.float64(0.4866878941503999)]","[0.8933662082018335, 1.0221212158679571]",-41.197940826416016,0.599,2936.885522944692,-240.01208852514225,0.0,1
5,"[np.float64(0.7623876705634723), np.float64(0.35962974597936526), np.float64(0.5951958360281309), np.float64(0.8792311853358806), np.float64(0.49501061038966987), np.float64(0.6410984793573328), np.float64(0.1362369449940265), np.float64(0.20413929496933914), np.float64(0.8791822930263492), np.float64(0.6899085447642473)]","[0.7550916380826702, 1.0398253529232335]",-31.620237350463867,0.066,2421.70119418719,-156.59144861342082,0.0,1
6,"[np.float64(0.6842154101324546), np.float64(0.9219876455127275), np.float64(0.6626537420388173), np.float64(0.859281218778339), np.float64(0.5611165503191516), np.float64(0.05543079717655708), np.float64(0.20512157225427397), np.float64(0.4913496130204209), np.float64(0.949564299086237), np.float64(0.7929934602330717)]","[0.8776280853035865, 1.0327153158033906]",-17.582313537597656,0.009,2345.654029975278,-216.27516011692848,0.0,1
7,"[np.float64(0.6269361437482296), np.float64(0.18109314098630847), np.float64(0.9021275781945923), np.float64(0.9597781863701643), np.float64(0.22496127568648616), np.float64(0.9403360826230013), np.float64(0.11695864466562156), np.float64(0.3153229844942612), np.float64(0.7562731115909688), np.float64(0.6265866671500011)]","[0.9649125473896683, 1.0940632306248488]",-54.19026184082031,0.363,3625.4032670958504,-381.90349203323365,0.0,1
8,"[np.float64(0.4759415404873387), np.float64(0.8065653226436704), np.float64(0.8521227640940977), np.float64(0.48147006803590653), np.float64(0.21340148890196164), np.float64(0.43399828273717755), np.float64(0.46476109405478294), np.float64(0.12547500935241174), np.float64(0.1748252856388649), np.float64(0.1360219765335564)]","[0.8411494487461688, 1.0900629838010207]",-38.66233825683594,0.265,3051.194184746156,-180.04893956445272,0.0,1
9,"[np.float64(0.14791601258820386), np.float64(0.9446769399217294), np.float64(0.7774006504214518), np.float64(0.3484331364349479), np.float64(0.5721595507131221), np.float64(0.5774982419233301), np.float64(0.6062259162272958), np.float64(0.5070464852279064), np.float64(0.17366350945609033), np.float64(0.12019875903079391)]","[0.17899030902075735, 1.3908447912675275]",-46.602840423583984,0.511,3545.351355212415,-72.11057872872937,0.0,1
10,"[np.float64(0.9250948352130012), np.float64(0.3311825226016072), np.float64(0.5797130679770504), np.float64(0.05986299388263128), np.float64(0.9482348131798805), np.float64(0.433957247348262), np.float64(0.23054788891893196), np.float64(0.23352020652782812), np.float64(0.18897480380296883), np.float64(0.9794744563614607)]","[0.9353357031842382, 1.0809238665582268]",-51.20375442504883,1.0,2617.7025591523125,-162.2430551199107,0.0,1
11,"[np.float64(0.5977801425367676), np.float64(0.3883815508963131), np.float64(0.6443552781079288), np.float64(0.7556250391415148), np.float64(0.5659030410581901), np.float64(0.9464810235391327), np.float64(0.20293371175962438), np.float64(0.2068029306483219), np.float64(0.5426524070946493), np.float64(0.4867503574556262)]","[0.11859017257921545, 1.4251811838971697]",-40.62548065185547,0.046,3092.3583632942855,-77.64076964751678,0.0,1
12,"[np.float64(0.8024638955114086), np.float64(0.4558775857561771), np.float64(0.9171786780265561), np.float64(0.5976068662680776), np.float64(0.18544469812336217), np.float64(0.28631050159214855), np.float64(0.7004081507721098), np.float64(0.8369385389904099), np.float64(0.7879887279644382), np.float64(0.8429955876025622)]","[0.9157477452286564, 1.1117844601812514]",-38.00126647949219,0.349,2684.0969212436194,-25.67382597617518,0.0,1
13,"[np.float64(0.7601385207050393), np.float64(0.41672114244431313), np.float64(0.1638041884761432), np.float64(0.7085398498245333), np.float64(0.25005414528404135), np.float64(0.5730902010053884), np.float64(0.6571927421509578), np.float64(0.576419764221379), np.float64(0.08876542356492612), np.float64(0.12543061793542365)]","[0.8408392987402022, 1.0824026711286767]",-44.62968444824219,0.438,3423.042458605179,-190.49874372077585,0.0,1
14,"[np.float64(0.3960737495166723), np.float64(0.6077860632196825), np.float64(0.28073881275572976), np.float64(0.9710365660888092), np.float64(0.8973020791176108), np.float64(0.2269716767801182), np.float64(0.4169363525250378), np.float64(0.8515180726038478), np.float64(0.7838058235060442), np.float64(0.5934547497866065)]","[0.7310091883150744, 1.1197840403401638]",-32.20829772949219,0.145,2941.13678250783,-88.21836302055476,0.0,1
15,"[np.float64(0.43132345380885195), np.float64(0.33099943817048805), np.float64(0.7559488323569789), np.float64(0.11610473609591099), np.float64(0.8880321199869642), np.float64(0.5914192820348003), np.float64(0.4112686884886242), np.float64(0.17072977658825428), np.float64(0.6974639333086391), np.float64(0.8796672522975737)]","[0.7831381598861666, 1.161703159463219]",-45.647621154785156,0.7,3113.400457425079,-91.66607698869865,0.0,1
16,"[np.float64(0.7888974391859744), np.float64(0.8493063223277797), np.float64(0.5744663079703887), np.float64(0.47365262875277814), np.float64(0.06185299650405951), np.float64(0.6541517919741594), np.float64(0.9074304033269568), np.float64(0.01495251864888425), np.float64(0.28130792498253576), np.float64(0.6201888385631475)]","[0.7375844842057271, 1.1659444609023801]",-50.210609436035156,1.0,3080.5772313183707,-181.96726755808487,0.0,1
17,"[np.float64(0.8621389210993113), np.float64(0.2120786478798098), np.float64(0.4285060656921795), np.float64(0.7188453664551908), np.float64(0.4504319488756726), np.float64(0.7800250945620328), np.float64(0.22875224889428014), np.float64(0.3654175239650753), np.float64(0.5478334919510167), np.float64(0.6044036215883223)]","[0.12861068525179337, 1.4143105780566072]",-35.40606689453125,0.267,3190.9953167139133,-147.97898317821233,0.0,1
18,"[np.float64(0.7187466485264637), np.float64(0.18417164982218692), np.float64(0.9309289841508848), np.float64(0.5872382977165849), np.float64(0.9196404658756056), np.float64(0.9231949897497057), np.float64(0.7261618291689391), np.float64(0.552249632089859), np.float64(0.2753536552389062), np.float64(0.8265148965654883)]","[0.09491963452766844, 1.290031229287207]",-39.876956939697266,0.353,3465.664501840776,-119.57462300049093,0.0,1
19,"[np.float64(0.3850541712746295), np.float64(0.4494071415681936), np.float64(0.7165945092612049), np.float64(0.3188925007886103), np.float64(0.8395235875238811), np.float64(0.5866457206400852), np.float64(0.06996514963645684), np.float64(0.8931072707668967), np.float64(0.4416977351221908), np.float64(0.576100982060954)]","[0.2192999761832844, 1.361037820645222]",-38.51520919799805,0.099,3379.3596206178972,-13.55381021990894,0.0,1
20,"[np.float64(0.07481951342173032), np.float64(0.5673117940149709), np.float64(0.20708851409187945), np.float64(0.4943279727816198), np.float64(0.4055637897834451), np.float64(0.3440417285659956), np.float64(0.4419650139988215), np.float64(0.7179064872954681), np.float64(0.7330076988314537), np.float64(0.35373439562102404)]","[0.8451299218410129, 1.1392159409836058]",-36.75161361694336,1.0,2732.5438332035474,-55.07572335404268,0.0,1
21,"[np.float64(0.17893481367543618), np.float64(0.4672684011434851), np.float64(0.9051438366771739), np.float64(0.652784802685132), np.float64(0.9669622001623905), np.float64(0.6399131657151546), np.float64(0.37050052710804804), np.float64(0.17735319182304865), np.float64(0.29830276735556926), np.float64(0.9198501605372782)]","[0.7049563686092548, 1.0134588342744346]",-29.322736740112305,0.374,2994.833108214056,-79.77996047064914,0.0,1
22,"[np.float64(0.8505027077264864), np.float64(0.3696641065187357), np.float64(0.2036222965230723), np.float64(0.9726223773831725), np.float64(0.07766082560771503), np.float64(0.5526734083388856), np.float64(0.22233589635585937), np.float64(0.7534216395615138), np.float64(0.7288973388456872), np.float64(0.25320840230371877)]","[0.7907985343773296, 1.1081158015431876]",-41.88052749633789,0.983,3379.6219617523884,-105.33258723170314,0.0,1
23,"[np.float64(0.6989471733513501), np.float64(0.683541574470258), np.float64(0.024884477720097387), np.float64(0.3060414915822871), np.float64(0.09820299795625209), np.float64(0.9811954308212117), np.float64(0.0788765837661155), np.float64(0.4534815367450279), np.float64(0.178935698624885), np.float64(0.6040155277723563)]","[0.1927071883170337, 1.2301627683718062]",-46.720455169677734,1.0,3580.517546225617,-27.063548842282046,0.0,1
