eval_id,x,hub,f1,f2,f3,g1,g2,g3,feasible
0,"[0.17893481367543618, 0.4672684011434851, 0.3549173343096512, 0.9051438366771739, 0.652784802685132, 0.6399131657151546, 0.37050052710804804, 0.790518245853265, 0.17735319182304865, 0.29830276735556926]","[1.459925080268639, 0.953806206216977]",-28.648828506469727,0.374,3432.371450185038,-79.77996047064914,0.0,0.0,1
1,"[0.7527320970790866, 0.82589525837557, 0.33881245331376186, 0.22633305684340344, 0.43091206068443144, 0.5151536963223518, 0.4483805454001032, 0.27789921550015906, 0.5258168433452484, 0.6631806204725954]","[0.4477019015387208, 1.1825904005661956]",-24.107568740844727,0.232,2486.0137388641115,86.91327509857234,2.0,0.0,0
2,"[0.19539759987155403, 0.43531315595064457, 0.20941612123621955, 0.7974623155214327, 0.34510057866729216, 0.5948658710060528, 0.2999915037451498, 0.8746240571921795, 0.606709676684979, 0.9468197909796484]","[1.2163813698099761, 1.350674398506333]",-26.336448669433594,0.314,3570.5206127663387,-4.157631145781522,4.0,0.0,0
3,"[0.3193418039018624, 0.3138203272623701, 0.7008408895008554, 0.4931103229848808, 0.18890636475445843, 0.6959948701337834, 0.2615530463118, 0.22789197890735768, 0.5800284530205562, 0.7312406583584447]","[1.3107516298129689, 0.5582164751952449]",-37.75590133666992,0.339,2985.9666146379886,26.8130143537999,1.0,0.0,0
4,"[0.42019325992063383, 0.46997091240616984, 0.5771775044961992, 0.0018023536068190182, 0.5193842211443356, 0.49482967791705623, 0.6756392228496231, 0.4162706429924663, 0.7940310607755042, 0.32654466381127]","[1.046722966747309, 1.3570561088300293]",-30.19530487060547,1.0,3075.714056997288,74.12217734375517,1.0,1.0,0
5,"[0.9897361675845034, 0.3582312185913814, 0.3142381312178827, 0.4165709623150299, 0.9584644009640338, 0.05873521751558297, 0.7300645778190835, 0.5670497583644489, 0.7742121576308749, 0.8883954263166767]","[1.080137156334035, 1.4205931249674941]",-22.29152488708496,0.1,3619.928703779304,130.0661899632894,2.0,1.0,0
6,"[0.023632428671776062, 0.2816134931005958, 0.48736306607251145, 0.012857887744930352, 0.4914833323409261, 0.29770945642086144, 0.6718259817227047, 0.09288854875744723, 0.6043157467736379, 0.6013821213404011]","[1.4452295541498401, 1.3775952868058952]",-43.888031005859375,1.0,4236.486485575914,-116.95764112295899,1.0,0.0,0
7,"[0.188257161102365, 0.7877266263227836, 0.6596072674909493, 0.9172632996428407, 0.5993159922695809, 0.9421208694705342, 0.6390262522229664, 0.5460602299006425, 0.23326320620013874, 0.8142430618716505]","[0.615508274358867, 1.201416737764787]",-35.904380798339844,0.34,2731.375016092384,-11.822068991965807,2.0,0.0,0
8,"[0.7660363414662829, 0.6068143810342034, 0.6283478623630906, 0.6557960559218892, 0.6685927884100901, 0.06771436062054059, 0.8570786899866468, 0.32133769545352076, 0.33815284273601076, 0.1283444014420535]","[0.032718378196915365, 1.0419546944813454]",-29.972270965576172,0.007,2447.4125635992145,198.35166501427608,1.0,0.0,0
9,"[0.5547696198165065, 0.5160825876377318, 0.8811861793495235, 0.31867896643874516, 0.11784964452439528, 0.23169822139230722, 0.659569533072841, 0.35506101458853867, 0.313666741563808, 0.6631833646572645]","[1.2365024304314944, 0.8374460954228211]",-31.63851547241211,0.688,3324.1372006033835,-164.5212605117652,0.0,0.0,1
10,"[0.9584801136956184, 0.7450348866476518, 0.2157905760841189, 0.7173945053263936, 0.34378554600189437, 0.6989151716524886, 0.8894983573045284, 0.6501660583206906, 0.8422279297235258, 0.6887947057130477]","[1.2046805169113326, 0.15252863562324498]",-23.675552368164062,0.254,2453.4792707372185,160.7368877929929,0.0,0.0,0
11,"[0.35304843378314044, 0.21652350161279854, 0.36767942473700777, 0.2671989318362714, 0.3187820814455795, 0.9634847481204788, 0.11363799358817561, 0.1009807921059821, 0.9144561221029246, 0.5858895145468258]","[0.6679799243985048, 1.0638281938324412]",-39.33777618408203,0.253,2328.086855561892,87.22955635348495,5.0,0.0,0
12,"[0.7898093832755049, 0.1836603870914313, 0.5542825390272328, 0.24062604181377323, 0.36528505670346056, 0.4229460447715928, 0.758249565648491, 0.4381450103309691, 0.7813658931947177, 0.043090690634595696]","[1.0152324040624476, 0.18070361643581123]",-47.85207748413086,0.354,2552.117592376883,149.53896636960633,3.0,0.0,0
13,"[0.46581253099537934, 0.3351350375860954, 0.9578419522589532, 0.07389597584523522, 0.16782365513224518, 0.20785494157193374, 0.5675652419333407, 0.9363122242578448, 0.8533136562599993, 0.8114328725032335]","[0.7178343572828981, 1.3593966025137634]",-49.76247024536133,1.0,3318.9908521104744,80.59893153773376,2.0,0.0,0
14,"[0.850551259756355, 0.2754808528630017, 0.7392607956370342, 0.6629613377688489, 0.16146904266095086, 0.9796258488514935, 0.6283084586743911, 0.07962933757560675, 0.32151551530824796, 0.5494715578347591]","[1.288539916479953, 0.9628763856050353]",-44.238059997558594,0.45,3331.098640759599,20.978322791562334,2.0,0.0,0
15,"[0.49866886134850175, 0.17791419839100442, 0.35622164118008504, 0.6520981168659544, 0.7444418905939161, 0.9051507074391362, 0.28879164900942544, 0.774382020078661, 0.2064226800628115, 0.7715370379067442]","[1.039186452461093, 0.31820872323865884]",-38.87884521484375,0.377,3124.2976933721734,-70.27883156182429,1.0,0.0,0
16,"[0.8953850271326209, 0.20557265759667276, 0.26268325844768114, 0.02094484416240605, 0.27068090144591017, 0.8794320598717107, 0.5513756583147158, 0.41628477156613086, 0.28176023673675177, 0.9191304909520741]","[1.088758246715808, 0.6413468138120098]",-42.356258392333984,1.0,2882.428328163326,7.557674429773186,2.0,0.0,0
17,"[0.49293616218995406, 0.5324478498483587, 0.3107930117753044, 0.9758320136707291, 0.8870121467184444, 0.6373601174260564, 0.42099270734434335, 0.5749995088018878, 0.5529869643862163, 0.015272435183649069]","[0.8647679793230478, 1.2847364484973847]",-26.707189559936523,0.104,3590.014937003162,-68.86788322714995,2.0,0.0,0
18,"[0.4875580786370386, 0.29526571288950065, 0.3657350555800003, 0.7768482879275864, 0.9936568534146455, 0.36880428868132864, 0.6788297965535495, 0.43523470740661496, 0.9461829725207951, 0.4849152370071329]","[0.024923602435105274, 1.2473283527790442]",-36.15690612792969,0.12,3417.921039904258,20.738577437012736,1.0,0.0,0
19,"[0.0763549914853281, 0.23483907948984994, 0.16222855752056586, 0.9159237744769517, 0.739900702350839, 0.11771307998234448, 0.9919930979414978, 0.11013211899741604, 0.6220697409528387, 0.3547334554703645]","[1.4880503176785342, 0.8376835526668058]",-45.39712905883789,0.993,4033.4286392990607,108.32219997701395,3.0,0.0,0
20,"[0.9868402765278871, 0.43974028393442544, 0.6442476693303388, 0.5149392859956807, 0.8756598515631787, 0.505794352818757, 0.7854340014599015, 0.2005303566832357, 0.01645945948648464, 0.5424458861963711]","[0.9377589260828116, 1.4997182338855923]",-32.09645080566406,0.026,3541.1495025316367,56.89214017769791,2.0,0.0,0
21,"[0.7373054252872605, 0.5914192820348003, 0.10844932301271404, 0.4112686884886242, 0.17072977658825428, 0.43132345380885195, 0.010231902156670136, 0.33099943817048805, 0.7559488323569789, 0.11610473609591099]","[1.4440160599934821, 1.3195008784463607]",-31.8443546295166,0.742,4497.143140598838,-120.89254749020512,3.0,1.0,0
22,"[0.7419162010314087, 0.5220921065907778, 0.4171774343880905, 0.9108220921659664, 0.7464710369587361, 0.9835673000846709, 0.7744687729754793, 0.3532556606165881, 0.43070700374480275, 0.4970226157004175]","[0.1268760779065603, 1.2550612931635001]",-36.504920959472656,0.034,3031.590358140759,-43.37359375375945,1.0,0.0,0
23,"[0.7076778979003703, 0.3356970836114517, 0.5333564262211142, 0.32011996751753846, 0.3918329723107977, 0.7424842116732404, 0.00921065799657117, 0.18956699187220505, 0.5664491371813656, 0.4590016363424163]","[0.18301541483209494, 1.4209477918759625]",-30.16351318359375,0.099,3305.2463726203036,36.70055258706839,2.0,0.0,0
24,"[0.5118814273652947, 0.8573010008865969, 0.3995968392250302, 0.09751514963535424, 0.841486558403682, 0.8851177060251493, 0.19316997569865946, 0.5257783000795696, 0.08535616172648453, 0.8267136201588152]","[0.7065846822128775, 1.2589665549678326]",-48.34306716918945,0.817,3720.9341113147134,-305.89370416357235,2.0,0.0,0
25,"[0.7476535197594388, 0.47403622225949027, 0.8166440705290728, 0.8817710808483114, 0.6823799448443975, 0.3151851034187104, 0.8929563307131257, 0.30996375517120167, 0.3987189364419349, 0.7115105508132997]","[1.4135469035066797, 0.6980275756135836]",-30.54159164428711,0.013,2394.498211896021,136.68806997338763,1.0,0.0,0
26,"[0.9606887020277379, 0.9002654171528618, 0.14704654594174182, 0.7411145400827215, 0.5292209856627658, 0.9366989347480371, 0.9083534610543227, 0.6483341011050769, 0.5287591672457896, 0.20143090853695012]","[0.7831343292771509, 1.0748027882966467]",-35.923622131347656,0.513,2766.368337081068,140.76513653968897,0.0,0.0,0
27,"[0.7281969713021883, 0.41225211081351676, 0.6603726714939671, 0.46770008428541465, 0.5157744326426499, 0.07706848791542142, 0.024011331493556054, 0.2929158759379945, 0.2864487199904745, 0.6576467600079774]","[0.7770490207042496, 1.3912576831453765]",-29.745269775390625,0.036,3067.1550756233387,-69.29860929430612,3.0,0.0,0
28,"[0.9421656316593494, 0.8731312620415899, 0.993906309433891, 0.3738491444106369, 0.8351417342075574, 0.38069524000658606, 0.09368549297431539, 0.21220747485396863, 0.0935034547745921, 0.4859329784263382]","[1.072307852436675, 1.3377326463498305]",-38.28579330444336,0.06,3131.7168649483556,1.8409082103700882,2.0,1.0,0
29,"[0.35954611893234156, 0.6571231551575867, 0.5254697248274498, 0.04850513258211875, 0.3049191826586233, 0.2362906836924623, 0.030188469259489592, 0.4736051880661374, 0.4341822332207885, 0.24864819916465264]","[1.299148422495251, 0.2312362544141343]",-29.48998260498047,1.0,2828.0063796595286,158.65554204088915,2.0,0.0,0
30,"[0.7571316253352183, 0.5988506638162991, 0.6385458531009636, 0.28353426632010625, 0.6181307496852578, 0.36956669018657895, 0.3799349341788377, 0.681937037573606, 0.8310576876132559, 0.6052685945074544]","[0.25396254580418, 1.197688526189553]",-19.99098777770996,0.14,2028.3085568025438,119.76808342748106,2.0,1.0,0
31,"[0.03387269818171201, 0.662682068619064, 0.720244476030497, 0.7401312499629299, 0.8695515555783495, 0.054731143300722596, 0.3164785602685367, 0.07482644255422188, 0.21417883012053884, 0.9065322424574986]","[1.1971433356450858, 0.03847184569194484]",-47.129425048828125,1.0,3422.8583148483444,38.15113586781675,2.0,0.0,0
